location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
"H.B. Colony, Bhiwani - HSPCB",Bhiwani,IN,no2,12.88,2020-04-07 19:45:00 UTC,µg/m³,caaqm,28.806223,76.14110600000001,0.25
E6-Tiller,Trondheim,NO,pm10,20.512045,2020-04-07 20:00:00 UTC,µg/m³,Norway,63.3576,10.3719,1.0
Leicester University,Leicester,GB,o3,94.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,52.619823,-1.127311,8.0
Deschambault,QUEBEC,CA,o3,0.033,2020-04-07 19:00:00 UTC,ppm,AirNow,46.6822,-71.9678,1.0
Rockwall Heath C69,Dallas-Fort Worth-Arlington,US,o3,0.037000000000000005,2020-04-07 20:00:00 UTC,ppm,AirNow,32.9361,-96.4592,1.0
Look Rock - GSMNP,Knoxville,US,pm25,13.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,35.6322,-83.9422,1.0
Regina,SASKATCHEWAN,CA,pm10,3.0,2016-08-21 13:00:00 UTC,µg/m³,AirNow,50.45,-104.6169,1.0
"GM Office, Brajrajnagar - OSPCB",Mahanadi Coal fields  Limited,IN,co,310.0,2020-04-07 20:45:00 UTC,µg/m³,caaqm,21.800499,83.8397,0.25
Jackson NCORE,Jackson,US,o3,0.024,2020-04-07 20:00:00 UTC,ppm,AirNow,32.32911,-90.182724,1.0
McMillan Reservoir,Washington-Arlington-Alexandria,US,bc,547.37,2020-04-07 20:00:00 UTC,µg/m³,AirNow,38.92185,-77.013176,1.0
Death Valley NP,Bishop,US,o3,0.044000000000000004,2020-04-07 19:00:00 UTC,ppm,AirNow,36.5092,-116.8481,1.0
Birmingham Tyburn,Birmingham,GB,no2,20.0,2016-04-29 10:00:00 UTC,µg/m³,DEFRA,52.511722999999996,-1.830583,1.0
"Żary, ul. Szymanowskiego 8",Żary,PL,no2,6.67318,2020-04-07 21:00:00 UTC,µg/m³,GIOS,51.642654,15.127807999999998,
Soda Springs PM25,CARIBOU,US,pm25,4.2,2019-11-26 18:00:00 UTC,µg/m³,AirNow,42.65167,-111.61471999999999,1.0
Xalostoc,MEXICO STATE,MX,so2,0.001,2019-10-27 05:00:00 UTC,ppm,AirNow,19.5259,-99.0824,1.0
Kamloops Federal Bui,BRITISH COLUMBIA,CA,pm25,8.6,2020-04-07 19:00:00 UTC,µg/m³,AirNow,50.6747,-120.3339,1.0
SaneguravaHalli - KSPCB,Bengaluru,IN,no2,23.67,2018-02-21 23:45:00 UTC,µg/m³,CPCB,12.99167,77.54583000000001,0.25
Ringsakervegen,Brumunddal,NO,pm25,12.6,2020-04-07 20:00:00 UTC,µg/m³,Norway,60.88593,10.93785,1.0
"Bielsko-Biała, ul.Partyzantów",Bielsko-Biała,PL,no2,55.1388,2020-04-07 21:00:00 UTC,µg/m³,GIOS,49.802074,19.04861,
Prestebakke,Prestebakke,NO,o3,65.2,2020-04-07 20:00:00 UTC,µg/m³,Norway,58.99677,11.52769,1.0
תחנה:כפר מסריק 2,חיפה וקריות,IL,co,0.0,2019-04-03 21:00:00 UTC,ppm,Israel,32.831264000000004,35.054672,0.25
Springfield,Springfield,US,pm25,3.0,2018-04-23 15:00:00 UTC,µg/m³,AirNow,42.1086,-72.5911,1.0
Meydan,Tokat,TR,so2,5.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,40.318665,36.552105,1.0
Limanköy-MTHM,Kırklareli,TR,no2,-1.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,41.88515,28.05599,1.0
IMGW-Jarczew,Jarczew,PL,o3,79.95,2020-04-07 09:00:00 UTC,µg/m³,GIOS,51.814365,21.972376,
MILITARY PARK,WAYNE,US,no2,0.013000000000000001,2020-04-07 20:00:00 UTC,ppm,AirNow,42.312077,-83.10347,1.0
Obispado,NUEVO LEON,MX,o3,0.024,2016-11-03 19:00:00 UTC,ppm,AirNow,25.67555,-100.33833,1.0
Lubań,Lubań,PL,o3,20.605999999999998,2018-12-11 16:00:00 UTC,µg/m³,GIOS,51.118412,15.285835,
Bory Tucholskie,Zielonka,PL,co,251.0,2020-04-07 21:00:00 UTC,µg/m³,GIOS,53.662117,17.934017,
Victoria Topaz,BRITISH COLUMBIA,CA,pm25,1.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,48.4292,-123.3583,1.0
Garden,Anchorage,US,pm25,3.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,61.205859999999994,-149.8246,1.0
"Loni, Ghaziabad - UPPCB",Loni Dehat,IN,o3,38.95,2020-04-07 19:00:00 UTC,µg/m³,caaqm,28.757294,77.27879,0.25
Pinnacle Peak Club H,Phoenix-Mesa-Scottsdale,US,o3,0.047,2020-04-07 19:00:00 UTC,ppm,AirNow,33.7123,-111.8527,1.0
Carrizo,San Luis Obispo-Paso Robles,US,o3,0.04,2020-04-07 19:00:00 UTC,ppm,AirNow,35.35474,-120.04013,1.0
