location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
MOBILE-KICKAPOO,LINCOLN,US,pm10,7.0,2017-01-18 16:00:00 UTC,µg/m³,AirNow,35.4884,-97.09028,1.0
Oxford St Ebbes,Oxford,GB,no2,30.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,51.744803999999995,-1.260278,1.0
BROADWAY (South),St. Louis,US,pm25,6.1,2020-04-07 19:00:00 UTC,µg/m³,AirNow,38.5425,-90.26361,1.0
"Deen Dayal Nagar, Sagar - MPPCB",Sagar,IN,pm25,23.67,2020-04-07 18:30:00 UTC,µg/m³,caaqm,23.864016,78.80289499999999,0.25
Manglerud,Oslo,NO,pm10,27.06,2020-04-07 20:00:00 UTC,µg/m³,Norway,59.89869,10.81495,1.0
Tiverton,ONTARIO,CA,o3,0.037000000000000005,2020-04-07 19:00:00 UTC,ppm,AirNow,44.2994,-81.5753,1.0
Berea BOE,Cleveland-Elyria-Mentor,US,o3,0.046,2020-04-07 20:00:00 UTC,ppm,AirNow,41.36189,-81.86461,1.0
Hull (Ile),QUEBEC,CA,o3,0.045,2020-04-07 19:00:00 UTC,ppm,AirNow,45.4369,-75.7261,1.0
Arcos,Arcos De La Frontera,ES,so2,1.0,2018-10-12 21:30:00 UTC,µg/m³,Andalucia,36.73975,-5.7437224,24.0
PC South Girard Scho,Columbus,US,pm25,13.0,2020-03-01 05:00:00 UTC,µg/m³,AirNow,32.437027,-84.99965999999999,1.0
Lake Ahquabi,Des Moines,US,o3,0.024,2017-06-14 11:00:00 UTC,ppm,AirNow,41.2853,-93.5839,1.0
Murphy Ridge,Evanston,US,o3,0.048,2020-04-07 20:00:00 UTC,ppm,AirNow,41.3694,-111.0419,1.0
Wicken Fen,Wicken Fen,GB,o3,93.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,52.2985,0.290917,8.0
Duluth-WDSE,Duluth,US,pm25,9.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,46.8183,-92.0892,1.0
Blaine,Minneapolis-St. Paul-Bloomington,US,pm10,8.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,45.1425,-93.2139,1.0
Stockton - Hazelton,Stockton,US,no2,0.004,2020-04-07 19:00:00 UTC,ppm,AirNow,37.95075,-121.26897,1.0
"Talcher Coalfields,Talcher - OSPCB",Talcher,IN,no2,7.49,2020-04-07 20:45:00 UTC,µg/m³,caaqm,20.936071,85.1707,0.25
Honolulu,Honolulu,US,co,0.3,2020-04-07 19:00:00 UTC,ppm,AirNow,21.3103,-157.8581,1.0
Dos Hermanas,Dos Hermanas,ES,so2,8.0,2018-10-12 22:00:00 UTC,µg/m³,Andalucia,37.284485,-5.9138417,24.0
"Bangna, Bangna",Bangkok,TH,o3,0.019,2020-04-02 03:00:00 UTC,ppm,Thailand,13.666116,100.60574,1.0
Ironton - ODOT,Portsmouth,US,pm25,0.1,2020-04-07 11:00:00 UTC,µg/m³,AirNow,38.508114,-82.6593,1.0
ES1593A,Cádiz,ES,co,9.0,2018-01-27 00:00:00 UTC,µg/m³,EEA Spain,36.46059,-6.203069999999999,1.0
Tsawwassen,BRITISH COLUMBIA,CA,pm25,4.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,49.00987,-123.082016,1.0
Kardemir 2,Karabük,TR,no2,50.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,41.193515999999995,32.627686,1.0
Hollister AMS,San Jose-Sunnyvale-Santa Clara,US,o3,0.032,2020-04-01 15:00:00 UTC,ppm,AirNow,36.843426,-121.3621,1.0
"Sector-2 Industrial Area, Pithampur - MPPCB",Plot no.- 57,IN,no2,7.7,2020-04-07 21:00:00 UTC,µg/m³,caaqm,22.624758,75.67524,0.25
Linkou,新北市,TW,so2,0.0008,2020-04-07 21:00:00 UTC,ppm,Taiwan,25.078570000000003,121.3657,1.0
Nezahualcóyotl,MEXICO STATE,MX,no2,0.006999999999999999,2020-04-07 19:00:00 UTC,ppm,AirNow,19.3919,-99.0281,1.0
"Moti Doongri, Alwar - RSPCB",Alwar - Jaipur Rd,IN,o3,5.69,2020-04-07 21:00:00 UTC,µg/m³,caaqm,27.554792,76.61153399999999,0.25
"MIDC Khutala, Chandrapur - MPCB",Chandrapur,IN,pm10,69.13,2020-04-07 21:00:00 UTC,µg/m³,caaqm,19.977529999999998,79.23371,0.25
BRAIDWD,Chicago-Naperville-Joliet,US,o3,0.045,2020-04-07 19:00:00 UTC,ppm,AirNow,41.2222,-88.1906,1.0
Opole manualna 4,Opole,PL,bc,0.5836,2020-04-07 21:00:00 UTC,µg/m³,GIOS,50.676857,17.950277,
MILWAUKEE SER DNR,Milwaukee-Waukesha-West Allis,US,no2,0.004,2020-04-07 20:00:00 UTC,ppm,AirNow,43.0611,-87.9125,1.0
Edmonton South,ALBERTA,CA,o3,0.05,2020-04-07 19:00:00 UTC,ppm,AirNow,53.5028,-113.6111,1.0
Mitrovice,Mitrovice,XK,pm10,24.414,2020-04-07 21:00:00 UTC,µg/m³,Kosovo,42.891791999999995,20.868937,1.0
East Liverpool,East Liverpool-Salem,US,so2,0.001,2020-04-07 20:00:00 UTC,ppm,AirNow,40.631972999999995,-80.54729499999999,1.0
Linyuan,KaoPing,TW,co,0.35,2020-04-07 21:00:00 UTC,ppm,Taiwan,22.4795,120.41175,1.0
Can-MTHM,Çanakkale,TR,pm10,42.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,40.02925,27.0498,1.0
Lublin ul. Obywatelska,Lublin,PL,pm10,68.6,2020-04-07 21:00:00 UTC,µg/m³,GIOS,51.25943,22.569134,
Italy C1044,Dallas-Fort Worth-Arlington,US,pm25,5.8,2016-12-06 17:00:00 UTC,µg/m³,AirNow,32.1772,-96.8711,1.0
Santa Catarina,NUEVO LEON,MX,pm25,12.0,2016-11-03 19:00:00 UTC,µg/m³,AirNow,25.675,-100.45833,1.0
Thirty Third,Phoenix-Mesa-Scottsdale,US,pm25,-0.9,2020-04-07 19:00:00 UTC,µg/m³,AirNow,33.461807,-112.12804399999999,1.0
Copan,WASHINGTON,US,pm10,21.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,36.908115,-95.88235,1.0
BiałaP-Orzechowa,Biała Podlaska,PL,o3,50.15,2020-04-07 21:00:00 UTC,µg/m³,GIOS,52.029194,23.14939,
Oakland West,San Francisco-Oakland-Fremont,US,so2,0.001,2020-04-07 19:00:00 UTC,ppm,AirNow,37.8148,-122.2824,1.0
Zhongshan,North,TW,no2,0.039,2020-04-07 21:00:00 UTC,ppm,Taiwan,25.06236,121.52653000000001,1.0
Nygaardsgata,Fredrikstad,NO,no2,7.788621000000001,2020-04-07 20:00:00 UTC,µg/m³,Norway,59.210190000000004,10.940097,1.0
ES1792A,Huelva,ES,pm10,29.1,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,37.133790000000005,-6.80745,1.0
Congaree Bluff,Columbia,US,o3,0.037000000000000005,2020-04-07 20:00:00 UTC,ppm,AirNow,33.8147,-80.7811,1.0
FES Acatlán,MEXICO STATE,MX,o3,0.073,2020-04-07 19:00:00 UTC,ppm,AirNow,19.4824,-99.2435,1.0
SPARTAN - CITEDEF,Buenos Aires,AR,pm25,18.1,2015-04-15 00:00:00 UTC,µg/m³,Spartan,-34.56,-58.506,1.0
Underhill,Burlington-South Burlington,US,o3,0.049,2020-04-07 20:00:00 UTC,ppm,AirNow,44.52839,-72.86896999999999,1.0
"Peenya, Bengaluru - CPCB",Bengaluru,IN,so2,4.24,2020-04-07 20:45:00 UTC,µg/m³,caaqm,13.027019500000002,77.494095,0.25
"Moti Doongri, Alwar - RSPCB",Alwar - Jaipur Rd,IN,pm10,49.17,2020-04-07 21:00:00 UTC,µg/m³,caaqm,27.554792,76.61153399999999,0.25
Frosinone Mazzini,Frosinone,IT,so2,1.0,2020-04-04 22:00:00 UTC,µg/m³,ARPALAZIO,41.639668,13.348913,1.0
London Eltham,London,GB,no2,50.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,51.45258,0.070766,1.0
Portland Cully Helen,Portland-Vancouver-Beaverton,US,pm25,3.9,2020-04-07 20:00:00 UTC,µg/m³,AirNow,45.562202,-122.57562,1.0
Hidden Valley,PINAL,US,pm25,2.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,32.88476,-112.03705,1.0
Batavia,Cincinnati-Middletown,US,pm25,7.2,2020-04-07 20:00:00 UTC,µg/m³,AirNow,39.0828,-84.1441,1.0
Near Road,BROWARD,US,bc,1.33,2020-04-07 15:00:00 UTC,µg/m³,AirNow,26.131256,-80.16785,1.0
Blaine,Minneapolis-St. Paul-Bloomington,US,so2,0.001,2020-04-07 20:00:00 UTC,ppm,AirNow,45.1425,-93.2139,1.0
Faro,Civitavecchia,IT,pm25,9.0,2020-03-30 22:00:00 UTC,µg/m³,ARPALAZIO,42.098904,11.817692,24.0
"Gangapur Road, Nashik - MPCB",Nashik,IN,co,290.0,2020-04-07 21:00:00 UTC,µg/m³,caaqm,20.007328,73.77624499999999,0.25
תחנה:עמיקם,גוש דן,IL,so2,0.0005,2019-04-03 21:00:00 UTC,ppm,Israel,32.04701,34.79258,0.25
Allumiere - v.Aldo Moro,Civitavecchia,IT,no2,2.0,2020-03-31 22:00:00 UTC,µg/m³,ARPALAZIO,42.160973,11.900022,1.0
CROUSE,Lincolnton,US,o3,0.054000000000000006,2020-04-07 19:00:00 UTC,ppm,AirNow,35.438557,-81.27675,1.0
WIOŚ Elbląg ul. Bażyńskiego,Elbląg,PL,bc,1.35986,2020-04-07 21:00:00 UTC,µg/m³,GIOS,54.167846999999995,19.410942000000002,
Toronto Downtown,,CA,pm25,10.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,43.64543,-79.38908,1.0
"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,IN,co,450.0,2020-04-07 21:00:00 UTC,µg/m³,caaqm,17.540892000000003,78.35853,0.25
SEAFORD,Seaford,US,pm25,11.1,2020-04-07 20:00:00 UTC,µg/m³,AirNow,38.6444,-75.6131,1.0
Roosvelt,DUCHESNE,US,no2,0.002,2020-04-07 19:00:00 UTC,ppm,AirNow,40.2943,-110.009,1.0
WEST OLIVE,OTTAWA,US,so2,0.001,2020-03-23 03:00:00 UTC,ppm,AirNow,42.923603,-86.19651999999999,1.0
"Gliwice, ul. Mewy 34",Gliwice,PL,so2,7.657839999999999,2020-04-07 21:00:00 UTC,µg/m³,GIOS,50.27948,18.655737,
Moheia Vest,Mo i Rana,NO,pm10,3.873914,2020-04-07 20:00:00 UTC,µg/m³,Norway,66.31219,14.149923000000001,1.0
Nisekh,Ulaanbaatar,MN,o3,26.0,2019-03-13 22:30:00 UTC,µg/m³,Agaar.mn,47.86394,106.77909,
"Udyogamandal, Eloor - Kerala PCB",Eloor,IN,pm10,56.77,2020-04-07 17:45:00 UTC,µg/m³,caaqm,10.073232,76.30276500000001,0.25
Tulsa,Tulsa,US,pm25,9.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,36.2067,-95.9764,1.0
תחנה:א.א.פחם,צפון הנגב,IL,o3,0.0117,2019-04-03 21:00:00 UTC,ppm,Israel,31.145020000000002,34.82837,0.25
Tucheng,North,TW,o3,0.032,2020-04-07 21:00:00 UTC,ppm,Taiwan,24.982529,121.45186000000001,1.0
Stoke-on-Trent Centre,Stoke-on-Trent,GB,pm10,16.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,53.028209999999994,-2.175133,24.0
Allumiere,Roma,IT,o3,95.0,2020-04-04 22:00:00 UTC,µg/m³,ARPALAZIO,42.157740000000004,11.908744,1.0
Bottesford,Bottesford,GB,o3,39.0,2016-10-28 16:00:00 UTC,µg/m³,DEFRA,52.93028,-0.8147220000000001,8.0
Blaine,Minneapolis-St. Paul-Bloomington,US,no2,0.003,2020-04-07 20:00:00 UTC,ppm,AirNow,45.1425,-93.2139,1.0
PECK,Wichita,US,pm10,35.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,37.4769,-97.3664,1.0
Southwick Community,Louisville,US,pm25,3.0,2018-01-11 06:00:00 UTC,µg/m³,AirNow,38.2317,-85.8156,1.0
ES1741A,Las Palmas,ES,pm10,30.0,2019-04-11 00:00:00 UTC,µg/m³,EEA Spain,27.763653,-15.563851000000001,1.0
Cartuja,Jerez De La Frontera,ES,so2,5.0,2018-10-12 21:50:00 UTC,µg/m³,Andalucia,36.660862,-6.1144943,24.0
Yeniköy-MTHM,Kocaeli,TR,o3,46.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,40.70417,29.88448,1.0
Ho Chi Minh City,,VM,pm25,10.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,10.782772999999999,106.70003500000001,1.0
MOBILE - SANTA ANA,SANDOVAL,US,pm10,3.0,2019-11-21 14:00:00 UTC,µg/m³,AirNow,35.338406,-106.52429,1.0
SPARTAN - ITB Bandung,Bandung,ID,pm25,8.8,2015-09-13 01:00:00 UTC,µg/m³,Spartan,-6.888,107.61,1.0
HARRINGTON BCH,Milwaukee-Waukesha-West Allis,US,pm25,16.7,2020-04-07 20:00:00 UTC,µg/m³,AirNow,43.4981,-87.81,1.0
BAYVIEW,BEAUFORT,US,so2,0.0,2020-04-07 19:00:00 UTC,ppm,AirNow,35.428000000000004,-76.74,1.0
SPABC14 COBACH,BAJA CALIFORNIA NORTE,MX,co,0.3,2020-04-07 20:00:00 UTC,ppm,AirNow,32.6336,-115.5042,1.0
Senior Center,Phoenix-Mesa-Scottsdale,US,pm10,17.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,33.4883,-111.855,1.0
Dambadarjaa,Ulaanbaatar,MN,no2,28.0,2019-03-01 08:00:00 UTC,µg/m³,Agaar.mn,47.962982000000004,106.93216000000001,
Poznań - RatajeMOB,Poznań,PL,pm10,14.7672,2020-04-07 21:00:00 UTC,µg/m³,GIOS,52.391727,16.998576999999997,
Bakersfield-Muni,Bakersfield,US,o3,0.037000000000000005,2020-04-07 19:00:00 UTC,ppm,AirNow,35.3313,-119.0,1.0
"Końskie, MOBILNA",Końskie,PL,pm25,0.0,2018-12-21 13:00:00 UTC,µg/m³,GIOS,51.189526,20.408892,
"Na An, Mueang",Loei,TH,so2,0.017,2019-08-01 23:00:00 UTC,ppm,Thailand,13.763936,100.529076,1.0
Estación Facultad de,GUANAJUATO,MX,co,0.13,2018-07-03 16:00:00 UTC,ppm,AirNow,21.133894,-101.68025,1.0
Farrell,Youngstown-Warren-Boardman,US,o3,0.04,2020-04-07 17:00:00 UTC,ppm,AirNow,41.215,-80.485,1.0
La Casa NCORE - 4545,Denver-Aurora,US,o3,0.052000000000000005,2020-04-07 19:00:00 UTC,ppm,AirNow,39.7794,-105.00523000000001,1.0
Chico -  East,BUTTE,US,no2,0.002,2020-04-07 19:00:00 UTC,ppm,AirNow,39.76168,-121.84047,1.0
Lough Navar,Lough Navar,GB,o3,85.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,54.43951,-7.900328,8.0
Soma,Manisa,TR,no2,29.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,39.181416,27.612913,1.0
Warszawa-Komunikacyjna,Warszawa,PL,bc,1.073,2020-04-07 20:00:00 UTC,µg/m³,GIOS,52.2193,21.004725,
"BTM Layout, Bengaluru - KSPCB",Bengaluru,IN,co,910.0,2018-02-22 03:00:00 UTC,µg/m³,CPCB,12.912811,77.60922,0.25
Erlin,Central,TW,pm10,37.0,2020-04-07 21:00:00 UTC,µg/m³,Taiwan,23.925175,120.40965,1.0
"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,co,830.0,2020-04-07 20:45:00 UTC,µg/m³,caaqm,25.592539000000002,85.22716,0.25
תחנה:ניידת6,תחנות ניידות,IL,so2,0.0007,2019-04-03 21:00:00 UTC,ppm,Israel,32.811009999999996,34.9981,0.25
Cedar Creek,GILMER,US,o3,0.048,2020-04-07 19:00:00 UTC,ppm,AirNow,38.8795,-80.8477,1.0
HICKORY,Hickory-Lenoir-Morganton,US,pm25,6.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,35.72889,-81.365555,1.0
Hukou,Chu-Miao,TW,co,0.23,2020-04-07 21:00:00 UTC,ppm,Taiwan,24.900143,121.03865,1.0
MIDAIR,Middlesborough,US,o3,0.046,2020-04-07 20:00:00 UTC,ppm,AirNow,36.6081,-83.7369,1.0
ROLAND,Fort Smith,US,o3,0.032,2020-04-07 20:00:00 UTC,ppm,AirNow,35.40814,-94.52441400000001,1.0
Colleferro-Oberdan,Roma,IT,co,300.0,2020-04-04 22:00:00 UTC,µg/m³,ARPALAZIO,41.73084,13.00435,1.0
"DRM Office Danapur, Patna - BSPCB",Patna,IN,o3,0.0,2020-04-06 17:15:00 UTC,µg/m³,caaqm,25.586561,85.04359000000001,0.25
"Kalal Majra, Khanna - PPCB",A.S. College,IN,co,0.0,2020-04-07 20:45:00 UTC,µg/m³,caaqm,30.736055,76.209694,0.25
Douliu,Yun-Chia-Nan,TW,o3,0.016,2020-04-07 21:00:00 UTC,ppm,Taiwan,23.711853,120.54498999999998,1.0
Matsu,連江縣,TW,no2,0.0092,2020-04-07 21:00:00 UTC,ppm,Taiwan,26.15361,119.9525,1.0
Limanköy-MTHM,Kırklareli,TR,o3,80.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,41.88515,28.05599,1.0
Våland,Stavanger,NO,pm10,14.237269,2020-04-07 20:00:00 UTC,µg/m³,Norway,58.96173,5.73147,1.0
Columbus - Franklin,Columbus,US,o3,0.013999999999999999,2017-11-03 09:00:00 UTC,ppm,AirNow,39.96523,-82.95549,1.0
Indpls - I-70 E,Indianapolis,US,pm25,9.2,2020-04-07 20:00:00 UTC,µg/m³,AirNow,39.787933,-86.13088,1.0
WIOŚ Ostróda Piłsudskiego,Ostróda,PL,o3,69.1544,2020-04-07 21:00:00 UTC,µg/m³,GIOS,53.694630000000004,19.968891,
Moshannon,DuBois,US,o3,0.040999999999999995,2020-04-07 20:00:00 UTC,ppm,AirNow,41.1175,-78.5261,1.0
Moheia Vest,Mo i Rana,NO,no2,11.825271,2019-01-02 08:00:00 UTC,µg/m³,Norway,66.31219,14.149923000000001,1.0
Boston-Von Hillern,SUFFOLK,US,no2,0.008,2020-04-07 19:00:00 UTC,ppm,AirNow,42.325195,-71.05605,1.0
Pleasanton - Owens C,San Francisco-Oakland-Fremont,US,co,0.32,2020-04-07 19:00:00 UTC,ppm,AirNow,37.70122,-121.90302,1.0
AM12 Kościerzyna Targowa,Kościerzyna,PL,o3,63.5478,2020-04-07 21:00:00 UTC,µg/m³,GIOS,54.120693,17.97586,
ES1653A,Sevilla,ES,no2,5.0,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,37.284490000000005,-5.91384,1.0
La Joya,Nijar,ES,so2,1.0,2018-10-12 22:00:00 UTC,µg/m³,Andalucia,36.950005,-1.9614835,24.0
LYNN,Boston-Cambridge-Quincy,US,no2,0.003,2020-04-07 19:00:00 UTC,ppm,AirNow,42.4747,-70.9719,1.0
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,pm10,10.0,2020-04-07 21:00:00 UTC,µg/m³,caaqm,12.920983999999999,77.58491,0.25
Prishtine - IHMK,Prishtine,XK,o3,85.079,2020-04-07 21:00:00 UTC,µg/m³,Kosovo,42.648872,21.137121,1.0
"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad,IN,pm25,53.0,2020-03-30 23:00:00 UTC,µg/m³,caaqm,28.685383,77.45384,0.25
Sparks,Reno-Sparks,US,co,0.1,2020-04-07 20:00:00 UTC,ppm,AirNow,39.54092,-119.746765,1.0
The Dalles - Cherry,City of The Dalles,US,o3,0.024,2018-10-01 21:00:00 UTC,ppm,AirNow,45.60242,-121.20338400000001,1.0
Doğubeyazıt,Ağrı,TR,pm10,112.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,39.5476,44.083595,1.0
AM4 Gdynia Pogórze,Gdynia,PL,pm10,17.2151,2020-04-07 20:00:00 UTC,µg/m³,GIOS,54.560837,18.493332000000002,
Sverresgate,Grenland,NO,no2,22.373082999999998,2020-04-07 20:00:00 UTC,µg/m³,Norway,59.138119999999994,9.65212,1.0
Prishtine - IHMK,Prishtine,XK,no2,4.24,2020-04-07 21:00:00 UTC,µg/m³,Kosovo,42.648872,21.137121,1.0
תחנה:גליל עליון,שפלה פנימית,IL,o3,0.0248,2019-04-03 21:00:00 UTC,ppm,Israel,31.889425,34.915092,0.25
Pingtung,屏東縣,TW,no2,0.013999999999999999,2020-04-07 21:00:00 UTC,ppm,Taiwan,22.67308,120.48803000000001,1.0
Ringsakervegen,Brumunddal,NO,no2,53.936337,2020-01-07 11:00:00 UTC,µg/m³,Norway,60.88593,10.93785,1.0
Boyabat,Sinop,TR,co,154.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,41.461216,34.776965999999994,1.0
Aksaray,İstanbul,TR,o3,5.0,2018-06-12 16:00:00 UTC,µg/m³,Turkey,41.014720000000004,28.954721000000003,1.0
"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,IN,so2,2.25,2020-04-07 18:45:00 UTC,µg/m³,caaqm,13.328028,75.79706,0.25
Działoszyn,Działoszyn,PL,no2,2.12657,2019-12-31 22:00:00 UTC,µg/m³,GIOS,50.972167999999996,14.941319,
"Waterloo, Water Towe",Waterloo-Cedar Falls,US,pm25,15.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,42.5014,-92.3158,1.0
Arlington Municipal,Dallas-Fort Worth-Arlington,US,pm25,7.1,2018-12-04 15:00:00 UTC,µg/m³,AirNow,32.6558,-97.0886,1.0
Sweet Home - Fire De,Albany-Lebanon,US,pm25,4.6,2020-04-07 20:00:00 UTC,µg/m³,AirNow,44.3958,-122.7305,1.0
Denver - CAMP - 2105,Denver-Aurora,US,o3,0.053,2020-04-07 19:00:00 UTC,ppm,AirNow,39.7511,-104.9872,1.0
SPABC14 COBACH,BAJA CALIFORNIA NORTE,MX,pm25,11.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,32.6336,-115.5042,1.0
South DeKalb,Atlanta-Sandy Springs-Marietta,US,co,0.22,2020-04-07 20:00:00 UTC,ppm,AirNow,33.6906,-84.2731,1.0
Leavenworth-Evans St,Wenatchee,US,pm25,3.9,2020-04-07 19:00:00 UTC,µg/m³,AirNow,47.5988,-120.6647,1.0
Hoxeyville,WEXFORD,US,o3,0.032,2020-04-07 19:00:00 UTC,ppm,AirNow,44.1809,-85.73899999999999,1.0
Steeper,ALBERTA,CA,no2,0.001,2020-04-07 19:00:00 UTC,ppm,AirNow,53.1325,-117.09111000000001,1.0
Aberdeen,Aberdeen,GB,no2,15.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,57.15736,-2.094278,1.0
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,o3,0.013999999999999999,2019-12-14 00:00:00 UTC,ppm,AirNow,33.802417999999996,-118.21993,1.0
Gaeta,Latina,IT,o3,78.0,2020-04-04 22:00:00 UTC,µg/m³,ARPALAZIO,41.223076,13.570481,1.0
Radom-Tochtermana,Radom,PL,co,1169.85,2020-04-07 20:00:00 UTC,µg/m³,GIOS,51.399082,21.147474,
Cinecitta,Roma,IT,o3,83.0,2020-04-04 22:00:00 UTC,µg/m³,ARPALAZIO,41.85772,12.568665,1.0
Misheel expo,Ulaanbaatar,MN,pm10,145.0,2019-03-13 22:00:00 UTC,µg/m³,Agaar.mn,47.89434,106.88247,
St. Lukes Meridian,Boise City-Nampa,US,o3,0.032,2020-04-07 20:00:00 UTC,ppm,AirNow,43.6007,-116.34785500000001,1.0
Lewistown,FERGUS,US,o3,0.049,2020-04-07 19:00:00 UTC,ppm,AirNow,47.04854,-109.45531499999998,1.0
Hammond-167th St,Chicago-Naperville-Joliet,US,pm25,11.8,2020-04-07 20:00:00 UTC,µg/m³,AirNow,41.594425,-87.49504,1.0
"Starachowice, ul. Złota",Starachowice,PL,pm10,49.93,2020-04-07 21:00:00 UTC,µg/m³,GIOS,51.05061,21.084175,
Sunnyside-S 16th,YAKIMA,US,pm25,8.5,2020-04-07 19:00:00 UTC,µg/m³,AirNow,46.32033,-119.9981,1.0
"Ban Suan, Mueang",Chon Buri,TH,no2,0.004,2020-04-07 20:00:00 UTC,ppm,Thailand,13.360626000000002,100.98454,1.0
Tustervatn,Tustervatn,NO,o3,78.2,2020-04-07 20:00:00 UTC,µg/m³,Norway,65.83089,13.90655,1.0
DCNearRoad,Washington-Arlington-Alexandria,US,pm25,2.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,38.89475,-76.95343000000001,1.0
Borowiec-Drapalka,Borówiec,PL,so2,1.8315599999999999,2019-12-31 22:00:00 UTC,µg/m³,GIOS,52.276794,17.074114,
Santa Clarita,Los Angeles-Long Beach-Santa Ana,US,pm25,-4.9,2020-04-07 20:00:00 UTC,µg/m³,AirNow,34.3833,-118.5283,1.0
Lillehammer barnehage,Lillehammer,NO,pm10,15.412833,2020-04-07 20:00:00 UTC,µg/m³,Norway,61.12087,10.46563,1.0
Tacoma-L St,Seattle-Tacoma-Bellevue,US,pm25,5.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,47.1864,-122.4517,1.0
Fontechiari,Frosinone,IT,pm10,17.0,2020-04-03 22:00:00 UTC,µg/m³,ARPALAZIO,41.67,13.674472,24.0
Mailiao,雲林縣,TW,pm10,34.0,2020-04-07 21:00:00 UTC,µg/m³,Taiwan,23.753505999999998,120.25182,1.0
Sorgun,Yozgat,TR,co,-335582.0,2018-04-05 06:00:00 UTC,µg/m³,Turkey,39.806248,35.18163,1.0
Suzhou Huo Che Zhan,Suzhou,CN,o3,65.0,2018-10-13 21:00:00 UTC,µg/m³,Suzhou,33.63064,116.98899999999999,1.0
MONCTON,NEW BRUNSWICK,CA,no2,0.001,2020-04-07 19:00:00 UTC,ppm,AirNow,46.11,-64.79,1.0
LIVONIA NEAR ROAD,WAYNE,US,pm25,15.8,2018-01-19 14:00:00 UTC,µg/m³,AirNow,42.421494,-83.42517,1.0
"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,IN,pm10,0.0,2020-04-04 18:00:00 UTC,µg/m³,caaqm,25.5586,91.8985,0.25
Silivri-MTHM,İstanbul,TR,no2,5.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,41.07318,28.255540000000003,1.0
Preneste,Roma,IT,pm10,21.0,2020-04-03 22:00:00 UTC,µg/m³,ARPALAZIO,41.886016999999995,12.541614,24.0
Dali,Central,TW,o3,0.019,2020-04-07 21:00:00 UTC,ppm,Taiwan,24.099611,120.67768999999998,1.0
Piotrków Tryb.-Krakowskie Przedmieście,Piotrków Trybunalski,PL,co,1447.0,2020-04-07 21:00:00 UTC,µg/m³,GIOS,51.404408000000004,19.696957,
Kuwait City,,KU,pm25,43.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,29.292315999999996,48.04768,1.0
Karaağaç-MTHM,Edirne,TR,so2,-1.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,41.65914,26.53732,1.0
Southwark A2 Old Kent Road,London,GB,pm10,22.0,2020-04-02 03:00:00 UTC,µg/m³,DEFRA,51.4805,-0.05955,24.0
"Bang Nak, Mueang",Narathiwat,TH,o3,0.01,2020-04-07 20:00:00 UTC,ppm,Thailand,6.427698,101.82356999999999,1.0
PEORIA_H,Peoria,US,o3,0.044000000000000004,2020-04-07 19:00:00 UTC,ppm,AirNow,40.745,-89.5861,1.0
Columbus - Maple Can,Columbus,US,o3,0.045,2020-04-07 20:00:00 UTC,ppm,AirNow,40.087807,-82.95959,1.0
